year,month,Cst_Cnt,Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,year_month,Series ID_x,CPI,Series ID_y,PPI
1956.0,6.0,8461.444444444445,221724.0,1.0,13.13888888888889,33.16888888888889,5.946666666666667,24.93922222222222,99.52222222222224,259.1166222222222,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,13.13888888888889,13.13888888888889,33.16888888888889,24.93444444444444,300.5888888888889,0.003,5.946666666666667,99.52222222222224,,,,,,,,1.0,,,,,,,,1956/06,CUUR0000SEFG,20.3,,
1957.0,1.0,8601.157894736842,225189.57894736843,1.0,17.817894736842106,33.8721052631579,5.96157894736842,24.44415789473684,109.82631578947368,259.8892105263158,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,17.817894736842106,17.817894736842106,33.8721052631579,24.43894736842105,347.7315789473683,0.0033157894736842,5.96157894736842,109.82631578947368,,,,,,,,1.0,,,,,,,,1957/01,CUUR0000SEFG,20.6,,
1957.0,2.0,8683.0,227551.0,1.0,20.73,35.05,4.67,24.607,91.7,203.5534,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,20.73,20.73,35.05,24.6,332.3,0.003,4.67,91.7,,,,,,,,1.0,,,,,,,,1957/02,CUUR0000SEFG,20.6,,
1957.0,7.0,9028.5,236374.25,1.0,19.2025,33.6375,5.555,23.9295,105.125,242.2885,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.2025,19.2025,33.6375,23.925,396.775,0.004,5.555,105.125,,,,,,,,1.0,,,,,,,,1957/07,CUUR0000SEFG,20.6,,
1957.0,8.0,9127.0,238637.0,1.0,28.3,35.105000000000004,4.74,22.376,106.0,207.0553,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,28.3,28.3,35.105000000000004,22.37,545.25,0.005,4.74,106.0,,,,,,,,1.0,,,,,,,,1957/08,CUUR0000SEFG,20.7,,
1957.0,12.0,9325.0,243395.0,1.0,16.47,33.405,5.640000000000001,24.414,101.1,245.87895,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.47,16.47,33.405,24.41,350.6,0.0035,5.640000000000001,101.1,,,,,,,,1.0,,,,,,,,1957/12,CUUR0000SEFG,21.1,,
1958.0,1.0,9376.5,244682.5,1.0,16.91,33.845,5.47,24.647,100.8,238.4305,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.91,16.91,33.845,24.64,328.4,0.003,5.47,100.8,,,,,,,,1.0,,,,,,,,1958/01,CUUR0000SEFG,21.4,,
1958.0,2.0,9491.0,247433.0,1.0,16.32,33.66,,24.645,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.32,16.32,33.66,24.64,328.6,0.003,,,,,,,,,,1.0,,,,,,,,1958/02,CUUR0000SEFG,21.7,,
1958.0,7.0,9865.0,256765.0,1.0,14.98,33.62,5.86,24.913,102.1,255.3462,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,14.98,14.98,33.62,24.91,303.0,0.003,5.86,102.1,,,,,,,,1.0,,,,,,,,1958/07,CUUR0000SEFG,22.1,,
1958.0,9.0,9988.0,259561.0,1.0,21.65,33.51,4.53,23.184,89.6,197.7257,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,21.65,21.65,33.51,23.18,467.9,0.005,4.53,89.6,,,,,,,,1.0,,,,,,,,1958/09,CUUR0000SEFG,22.2,,
1958.0,11.0,10255.714285714286,267072.14285714284,1.0,16.854285714285712,33.50857142857143,5.427142857142856,24.403,98.11428571428571,236.6030857142857,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.854285714285712,16.854285714285712,33.50857142857143,24.398571428571437,351.6428571428572,0.0035714285714285,5.427142857142856,98.11428571428571,,,,,,,,1.0,,,,,,,,1958/11,CUUR0000SEFG,22.5,,
1958.0,12.0,10283.307692307691,267773.23076923075,1.0,16.772307692307695,33.49,5.358181818181818,24.40946153846153,96.66363636363636,233.5905272727273,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.772307692307695,16.772307692307695,33.49,24.40461538461538,351.05384615384617,0.0036923076923076,5.358181818181818,96.66363636363636,,,,,,,,1.0,,,,,,,,1958/12,CUUR0000SEFG,22.5,,
1959.0,1.0,10392.577464788732,270583.88732394367,1.0,18.239718309859157,33.89450704225352,5.188245614035087,24.333056338028168,96.28947368421058,226.20130175438604,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,18.239718309859157,18.239718309859157,33.89450704225352,24.328309859154928,358.33943661971824,0.0036056338028169,5.188245614035087,96.28947368421058,,,,,,,,1.0,,,,,,,,1959/01,CUUR0000SEFG,22.8,,
1959.0,2.0,10543.3,274594.22,1.0,15.387600000000004,33.5994,5.661111111111111,24.79470000000001,99.36222222222224,246.7067977777778,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.387600000000004,15.387600000000004,33.5994,24.7902,314.3420000000001,0.00308,5.661111111111111,99.36222222222224,,,,,,,,1.0,,,,,,,,1959/02,CUUR0000SEFG,22.7,,
1959.0,3.0,10603.888888888889,276320.5555555556,1.0,16.75,33.68555555555555,5.717142857142856,24.56133333333333,103.85714285714286,249.2114714285714,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.75,16.75,33.68555555555555,24.557777777777776,336.55555555555554,0.0029999999999999,5.717142857142856,103.85714285714286,,,,,,,,1.0,,,,,,,,1959/03,CUUR0000SEFG,22.7,,
1959.0,4.0,10680.285714285714,278535.16071428574,1.0,15.88732142857143,33.61053571428571,5.505098039215687,24.69467857142857,97.26666666666664,239.92730784313724,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.88732142857143,15.88732142857143,33.61053571428571,24.691071428571423,323.87321428571425,0.0030535714285714,5.505098039215687,97.26666666666664,,,,,,,,1.0,,,,,,,,1959/04,CUUR0000SEFG,22.7,,
1959.0,5.0,10817.333333333334,282355.3333333333,1.0,16.212500000000002,33.57083333333333,5.57,24.589166666666667,99.4,242.785725,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.212500000000002,16.212500000000002,33.57083333333333,24.585416666666664,333.925,0.003125,5.57,99.4,,,,,,,,1.0,,,,,,,,1959/05,CUUR0000SEFG,22.5,,
1959.0,6.0,10862.0,283706.45454545453,1.0,18.194545454545448,33.75454545454544,5.418636363636364,24.246500000000005,100.54545454545456,236.26470454545455,,3.0,2.0,,2.0,8.0,9.0,,8.0,8.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,18.194545454545448,18.067619047619047,33.75454545454544,24.252857142857145,365.5999999999999,0.0037619047619047,5.418636363636364,99.99523809523812,,,,,,,,1.0,,,,,,,,1959/06,CUUR0000SEFG,22.5,,
1959.0,7.0,10971.11235955056,286784.3146067416,1.0,19.037640449438197,33.62310344827587,5.3855813953488365,23.950747126436784,101.37857142857143,235.43812261904765,,3.0,2.0,,2.0,9.0,9.0,9.0,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.037640449438197,18.94942528735631,33.62310344827587,23.945632183908035,394.7977011494253,0.003919540229885,5.3855813953488365,101.37857142857143,,,,,,,,1.0,,,,,,,,1959/07,CUUR0000SEFG,22.5,,
1959.0,8.0,11178.022727272728,292521.98863636365,1.0,22.138409090909093,33.91386363636365,4.910919540229887,23.30235227272728,97.75632183908046,214.3151977011494,,3.0,2.0,,2.0,8.0,9.0,9.0,8.0,8.5,,9.0,,9.0,0.3538235294117647,9.0,1.6666666666666667,9.0,0.0,9.0,0.425,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,22.138409090909093,22.102528735632188,33.91386363636365,23.30344827586207,456.19655172413775,0.0045172413793103,4.910919540229887,97.80232558139532,1.6666666666666667,0.3538235294117647,0.425,0.0,,,,1.0,,,,,,,,1959/08,CUUR0000SEFG,22.4,,
1959.0,9.0,11279.4,295023.9,1.0,19.342,33.510000000000005,5.210000000000001,23.7895,98.68,227.27094,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.342,19.342,33.510000000000005,23.784,410.16,0.0041,5.210000000000001,98.68,,,,,,,,1.0,,,,,,,,1959/09,CUUR0000SEFG,22.3,,
1959.0,10.0,11386.265625,297887.140625,1.0,19.320624999999996,33.65015625,5.130952380952382,23.886078125000004,97.1222222222222,223.79920952380945,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.320624999999996,19.320624999999996,33.65015625,23.8809375,400.9546874999999,0.0039375,5.130952380952382,97.1222222222222,,,,,,,,1.0,,,,,,,,1959/10,CUUR0000SEFG,22.2,,
1959.0,11.0,11499.666666666666,301118.5,1.0,17.635,33.666666666666664,5.335000000000001,24.337833333333336,97.96666666666664,232.60001666666665,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,17.635,17.635,33.666666666666664,24.331666666666667,357.88333333333327,0.0038333333333333,5.335000000000001,97.96666666666664,,,,,,,,1.0,,,,,,,,1959/11,CUUR0000SEFG,22.3,,
1959.0,12.0,11532.772727272728,302085.45454545453,1.0,16.221363636363638,33.55578947368421,5.396190476190476,24.56505263157895,96.4421052631579,235.01448421052632,,3.0,2.0,,2.0,9.0,9.0,9.0,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.221363636363638,16.314736842105265,33.55578947368421,24.560526315789478,336.22105263157897,0.0031578947368421,5.396190476190476,96.4421052631579,,,,,,,,1.0,,,,,,,,1959/12,CUUR0000SEFG,22.4,,
1960.0,1.0,11691.792452830188,306712.80188679247,1.0,15.99745283018868,33.765094339622635,5.475809523809521,24.76927358490567,97.32761904761904,238.6371838095237,,3.0,2.0,,2.0,8.0,9.0,9.0,8.0,8.5,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.99745283018868,16.023333333333337,33.765094339622635,24.760190476190488,317.19142857142856,0.003095238095238,5.475809523809521,97.36730769230768,,,,,,,,1.0,,,,,,,,1960/01,CUUR0000SEFG,22.5,,
1960.0,2.0,11830.384615384615,310612.03846153844,1.0,13.673461538461542,33.541923076923084,5.695200000000001,25.11676923076923,96.544,248.115852,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,13.673461538461542,13.673461538461542,33.541923076923084,25.11230769230769,283.6807692307692,0.0029230769230769,5.695200000000001,96.544,,,,,,,,1.0,,,,,,,,1960/02,CUUR0000SEFG,22.4,,
1960.0,3.0,11901.28125,312628.15625,1.0,14.784375,33.546875,5.797812499999999,24.89471875,100.52187500000002,252.63911875,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,14.784375,14.784375,33.546875,24.88937499999999,304.81562500000007,0.003,5.797812499999999,100.52187500000002,,,,,,,,1.0,,,,,,,,1960/03,CUUR0000SEFG,22.4,,
1960.0,4.0,12052.981308411216,316875.7663551402,1.0,15.334953271028043,33.56173076923076,5.532815533980584,24.76195192307692,96.59611650485442,241.12179417475733,,3.0,1.9813084112149533,,2.2211538461538463,9.0,9.0,8.8,9.0,8.8,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.334953271028043,15.314038461538466,33.56173076923076,24.757211538461544,317.4711538461537,0.003076923076923,5.532815533980584,96.85980392156868,,,,,,,,1.0,,,,,,,,1960/04,CUUR0000SEFG,22.4,,
1960.0,5.0,12192.933333333332,320805.76666666666,1.0,16.24866666666667,33.59033333333333,5.607333333333334,24.59506666666667,100.13666666666664,244.41046333333333,,3.0,2.0,,2.033333333333333,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.24866666666667,16.24866666666667,33.59033333333333,24.59,333.3699999999999,0.0032666666666666,5.607333333333334,100.13666666666664,,,,,,,,1.0,,,,,,,,1960/05,CUUR0000SEFG,22.5,,
1960.0,6.0,12235.545454545454,322036.86363636365,1.0,16.72,33.62181818181818,5.697222222222224,24.51627272727273,102.9,248.35324444444444,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,16.72,16.72,33.62181818181818,24.511818181818185,340.8681818181818,0.0034090909090909,5.697222222222224,102.9,,,,,,,,1.0,,,,,,,,1960/06,CUUR0000SEFG,22.5,,
1960.0,7.0,12295.868421052632,323806.9210526316,1.0,17.428947368421053,33.553513513513515,5.4602631578947385,24.22062162162162,100.33243243243244,238.87490000000008,,3.0,2.0,,2.0,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,17.428947368421053,17.597837837837837,33.553513513513515,24.21702702702703,369.08378378378376,0.0037027027027027,5.4602631578947385,100.33243243243244,,,,,,,,1.0,,,,,,,,1960/07,CUUR0000SEFG,22.5,,
1960.0,8.0,12364.625,325775.125,1.0,18.08125,33.5825,4.9925,24.16562500000001,92.475,217.70323750000003,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,18.08125,18.08125,33.5825,24.161250000000003,374.275,0.004,4.9925,92.475,,,,,,,,1.0,,,,,,,,1960/08,CUUR0000SEFG,22.4,,
1960.0,10.0,12417.0,327302.76923076925,1.0,19.672307692307687,33.794435897435896,5.176923076923075,23.89223076923077,98.48205128205132,225.79591025641025,,3.0,2.0,,2.2564102564102564,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.672307692307687,19.672307692307687,33.794435897435896,23.887692307692312,400.3897435897436,0.0039743589743589,5.176923076923075,98.48205128205132,,,,,,,,1.0,,,,,,,,1960/10,CUUR0000SEFG,22.5,,
1961.0,1.0,12555.4375,331474.5875,1.0,15.751375000000005,33.61706410256412,5.690126582278479,24.720397435897446,100.4467532467532,247.8575493506493,,3.0,2.0,,2.9871794871794872,8.666666666666666,9.0,9.0,8.666666666666666,8.75,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.751375000000005,15.752077922077929,33.61706410256412,24.71415584415585,321.5558441558441,0.003077922077922,5.690126582278479,100.43289473684206,,,,,,,,1.0,,,,,,,,1961/01,CUUR0000SEFG,22.8,,
1961.0,4.0,12673.830188679243,335000.77358490566,1.0,15.049622641509435,33.530903846153834,5.771886792452827,24.811288461538457,100.4942307692308,251.73901538461547,,3.0,2.0,,2.9615384615384617,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.049622641509435,15.022115384615386,33.530903846153834,24.806153846153844,312.7807692307693,0.0029807692307692,5.771886792452827,100.4942307692308,,,,,,,,1.0,,,,,,,,1961/04,CUUR0000SEFG,22.9,,
1961.0,5.0,12729.5,336681.5,1.0,15.135,33.681,5.925000000000001,24.926,103.65,258.1753,,3.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.135,15.135,33.681,24.92,301.85,0.003,5.925000000000001,103.65,,,,,,,,1.0,,,,,,,,1961/05,CUUR0000SEFG,22.9,,
1961.0,7.0,12796.73076923077,338553.4038461539,1.0,18.75038461538461,33.67721153846155,5.491153846153845,24.025961538461537,102.70961538461536,239.4734942307693,,3.0,2.0,,2.9615384615384617,,9.0,,,,,9.0,,9.0,0.4620408163265305,9.0,2.4375,9.0,0.0175,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,18.75038461538461,18.75038461538461,33.67721153846155,24.02115384615385,387.64807692307687,0.0039230769230769,5.491153846153845,102.70961538461536,2.4375,0.4620408163265305,,0.0175,,,,1.0,,,,,,,,1961/07,CUUR0000SEFG,22.9,,
1961.0,9.0,12846.5,339948.25,1.0,17.115000000000002,32.6935,4.765,23.71625,86.075,207.87297500000005,,3.0,2.0,,2.75,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,17.115000000000002,17.115000000000002,32.6935,23.7125,417.125,0.004,4.765,86.075,,,,,,,,1.0,,,,,,,,1961/09,CUUR0000SEFG,23.0,,
1961.0,10.0,12913.138888888889,341941.97222222225,1.0,18.09777777777778,33.71477777777776,5.456111111111111,24.23769444444444,100.8375,237.89723888888892,,3.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,18.09777777777778,18.09777777777778,33.71477777777776,24.233611111111102,367.4333333333333,0.0037222222222222,5.456111111111111,100.8375,,,,,,,,1.0,,,,,,,,1961/10,CUUR0000SEFG,23.2,,
1962.0,1.0,13029.988505747126,345446.6781609195,1.0,15.159310344827585,33.66340229885058,5.567906976744186,24.88120689655172,97.26162790697676,242.62361976744185,,3.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.159310344827585,15.159310344827585,33.66340229885058,24.876321839080468,306.1137931034483,0.0030804597701149,5.567906976744186,97.26162790697676,,,,,,,,1.0,,,,,,,,1962/01,CUUR0000SEFG,23.6,,
1962.0,3.0,13112.4375,347982.9375,1.0,13.55375,33.5076875,5.883749999999999,25.1089375,99.325,256.33019375,,3.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,13.55375,13.55375,33.5076875,25.104375,284.43125,0.003,5.883749999999999,99.325,,,,,,,,1.0,,,,,,,,1962/03,CUUR0000SEFG,23.8,,
